"sample1","sample2","distance","mouse1","treat","mouse2"
"P2024.198.515rcbc1.109","P2024.198.515rcbc1.097",0.367829021372328,"U2","Untreated","U1"
"P2024.198.515rcbc1.121","P2024.198.515rcbc1.097",0.40607424071991,"U3","Untreated","U1"
"P2024.198.515rcbc1.133","P2024.198.515rcbc1.097",0.392575928008999,"U4","Untreated","U1"
"P2024.198.515rcbc1.145","P2024.198.515rcbc1.097",0.631046119235096,"U5","Untreated","U1"
"P2024.198.515rcbc1.110","P2024.198.515rcbc1.098",0.291338582677165,"C5","Colistin","C4"
"P2024.198.515rcbc1.157","P2024.198.515rcbc1.098",0.312710911136108,"C1","Colistin","C4"
"P2024.198.515rcbc1.169","P2024.198.515rcbc1.098",0.428571428571429,"C2","Colistin","C4"
"P2024.198.515rcbc1.181","P2024.198.515rcbc1.098",0.308211473565804,"C3","Colistin","C4"
"P2024.198.515rcbc1.111","P2024.198.515rcbc1.099",0.348706411698538,"K3","Kanamycin","K2"
"P2024.198.515rcbc1.123","P2024.198.515rcbc1.099",0.230596175478065,"K4","Kanamycin","K2"
"P2024.198.515rcbc1.135","P2024.198.515rcbc1.099",0.258717660292463,"K5","Kanamycin","K2"
"P2024.198.515rcbc1.182","P2024.198.515rcbc1.099",0.283464566929134,"K1","Kanamycin","K2"
"P2024.198.515rcbc1.147","P2024.198.515rcbc1.100",0.49156355455568,"M1","Metronidazole","M5"
"P2024.198.515rcbc1.159","P2024.198.515rcbc1.100",0.616422947131609,"M2","Metronidazole","M5"
"P2024.198.515rcbc1.171","P2024.198.515rcbc1.100",0.582677165354331,"M3","Metronidazole","M5"
"P2024.198.515rcbc1.183","P2024.198.515rcbc1.100",0.479190101237345,"M4","Metronidazole","M5"
"P2024.198.515rcbc1.113","P2024.198.515rcbc1.101",0.116985376827897,"A4","All","A3"
"P2024.198.515rcbc1.125","P2024.198.515rcbc1.101",0.289088863892013,"A5","All","A3"
"P2024.198.515rcbc1.172","P2024.198.515rcbc1.101",0.158605174353206,"A1","All","A3"
"P2024.198.515rcbc1.184","P2024.198.515rcbc1.101",0.329583802024747,"A2","All","A3"
"P2024.198.515rcbc1.121","P2024.198.515rcbc1.109",0.265466816647919,"U3","Untreated","U2"
"P2024.198.515rcbc1.133","P2024.198.515rcbc1.109",0.376827896512936,"U4","Untreated","U2"
"P2024.198.515rcbc1.145","P2024.198.515rcbc1.109",0.53318335208099,"U5","Untreated","U2"
"P2024.198.515rcbc1.157","P2024.198.515rcbc1.110",0.408323959505062,"C1","Colistin","C5"
"P2024.198.515rcbc1.169","P2024.198.515rcbc1.110",0.465691788526434,"C2","Colistin","C5"
"P2024.198.515rcbc1.181","P2024.198.515rcbc1.110",0.392575928008999,"C3","Colistin","C5"
"P2024.198.515rcbc1.123","P2024.198.515rcbc1.111",0.40044994375703,"K4","Kanamycin","K3"
"P2024.198.515rcbc1.135","P2024.198.515rcbc1.111",0.143982002249719,"K5","Kanamycin","K3"
"P2024.198.515rcbc1.182","P2024.198.515rcbc1.111",0.413948256467942,"K1","Kanamycin","K3"
"P2024.198.515rcbc1.124","P2024.198.515rcbc1.112",0.192350956130484,"V2","Vancomycin","V1"
"P2024.198.515rcbc1.136","P2024.198.515rcbc1.112",0.259842519685039,"V3","Vancomycin","V1"
"P2024.198.515rcbc1.148","P2024.198.515rcbc1.112",0.293588301462317,"V4","Vancomycin","V1"
"P2024.198.515rcbc1.160","P2024.198.515rcbc1.112",0.205849268841395,"V5","Vancomycin","V1"
"P2024.198.515rcbc1.125","P2024.198.515rcbc1.113",0.282339707536558,"A5","All","A4"
"P2024.198.515rcbc1.172","P2024.198.515rcbc1.113",0.209223847019123,"A1","All","A4"
"P2024.198.515rcbc1.184","P2024.198.515rcbc1.113",0.328458942632171,"A2","All","A4"
"P2024.198.515rcbc1.133","P2024.198.515rcbc1.121",0.473565804274466,"U4","Untreated","U3"
"P2024.198.515rcbc1.145","P2024.198.515rcbc1.121",0.490438695163105,"U5","Untreated","U3"
"P2024.198.515rcbc1.134","P2024.198.515rcbc1.122",0.462317210348706,"G2","Gentamycin","G1"
"P2024.198.515rcbc1.146","P2024.198.515rcbc1.122",0.334083239595051,"G3","Gentamycin","G1"
"P2024.198.515rcbc1.158","P2024.198.515rcbc1.122",0.377952755905512,"G4","Gentamycin","G1"
"P2024.198.515rcbc1.170","P2024.198.515rcbc1.122",0.265466816647919,"G5","Gentamycin","G1"
"P2024.198.515rcbc1.135","P2024.198.515rcbc1.123",0.31496062992126,"K5","Kanamycin","K4"
"P2024.198.515rcbc1.182","P2024.198.515rcbc1.123",0.332958380202475,"K1","Kanamycin","K4"
"P2024.198.515rcbc1.136","P2024.198.515rcbc1.124",0.201349831271091,"V3","Vancomycin","V2"
"P2024.198.515rcbc1.148","P2024.198.515rcbc1.124",0.268841394825647,"V4","Vancomycin","V2"
"P2024.198.515rcbc1.160","P2024.198.515rcbc1.124",0.122609673790776,"V5","Vancomycin","V2"
"P2024.198.515rcbc1.172","P2024.198.515rcbc1.125",0.286839145106862,"A1","All","A5"
"P2024.198.515rcbc1.184","P2024.198.515rcbc1.125",0.263217097862767,"A2","All","A5"
"P2024.198.515rcbc1.145","P2024.198.515rcbc1.133",0.671541057367829,"U5","Untreated","U4"
"P2024.198.515rcbc1.146","P2024.198.515rcbc1.134",0.367829021372328,"G3","Gentamycin","G2"
"P2024.198.515rcbc1.158","P2024.198.515rcbc1.134",0.386951631046119,"G4","Gentamycin","G2"
"P2024.198.515rcbc1.170","P2024.198.515rcbc1.134",0.521934758155231,"G5","Gentamycin","G2"
"P2024.198.515rcbc1.182","P2024.198.515rcbc1.135",0.340832395950506,"K1","Kanamycin","K5"
"P2024.198.515rcbc1.148","P2024.198.515rcbc1.136",0.276715410573678,"V4","Vancomycin","V3"
"P2024.198.515rcbc1.160","P2024.198.515rcbc1.136",0.201349831271091,"V5","Vancomycin","V3"
"P2024.198.515rcbc1.158","P2024.198.515rcbc1.146",0.273340832395951,"G4","Gentamycin","G3"
"P2024.198.515rcbc1.170","P2024.198.515rcbc1.146",0.344206974128234,"G5","Gentamycin","G3"
"P2024.198.515rcbc1.159","P2024.198.515rcbc1.147",0.489313835770529,"M2","Metronidazole","M1"
"P2024.198.515rcbc1.171","P2024.198.515rcbc1.147",0.498312710911136,"M3","Metronidazole","M1"
"P2024.198.515rcbc1.183","P2024.198.515rcbc1.147",0.616422947131609,"M4","Metronidazole","M1"
"P2024.198.515rcbc1.160","P2024.198.515rcbc1.148",0.244094488188976,"V5","Vancomycin","V4"
"P2024.198.515rcbc1.169","P2024.198.515rcbc1.157",0.415073115860517,"C2","Colistin","C1"
"P2024.198.515rcbc1.181","P2024.198.515rcbc1.157",0.390326209223847,"C3","Colistin","C1"
"P2024.198.515rcbc1.170","P2024.198.515rcbc1.158",0.354330708661417,"G5","Gentamycin","G4"
"P2024.198.515rcbc1.171","P2024.198.515rcbc1.159",0.672665916760405,"M3","Metronidazole","M2"
"P2024.198.515rcbc1.183","P2024.198.515rcbc1.159",0.723284589426322,"M4","Metronidazole","M2"
"P2024.198.515rcbc1.181","P2024.198.515rcbc1.169",0.532058492688414,"C3","Colistin","C2"
"P2024.198.515rcbc1.183","P2024.198.515rcbc1.171",0.644544431946007,"M4","Metronidazole","M3"
"P2024.198.515rcbc1.184","P2024.198.515rcbc1.172",0.366704161979753,"A2","All","A1"
