"sample","axis_1","axis_2","principal_investigator","protocol_number","project_name","sample_weight_mg","sample_source","date_sent_to_prime_tr","sequencing_requred","timepoint","treatment","mouse","core_sample_id","centroid.x","centroid.y"
"ac351",-0.137525961995858,-0.10877715970586,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","351","P2024.200.515rcbc1.100",-0.187204771470899,-0.0998740427716121
"ac352",-0.157043486441253,-0.0747797250405932,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","352","P2024.200.515rcbc1.112",-0.187204771470899,-0.0998740427716121
"ac353",-0.124722976534773,-0.108329887535561,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","353","P2024.200.515rcbc1.124",-0.187204771470899,-0.0998740427716121
"ac354",-0.11683438341915,-0.0400006015833546,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","354","P2024.200.515rcbc1.136",-0.187204771470899,-0.0998740427716121
"ac355",-0.319100148783879,-0.212642336940501,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","355","P2024.200.515rcbc1.148",-0.187204771470899,-0.0998740427716121
"ac356",-0.268001671650483,-0.0547145458238018,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","356","P2024.200.515rcbc1.160",-0.187204771470899,-0.0998740427716121
"ad363",0.186519600954365,0.0484202749567143,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","363","P2024.200.515rcbc1.149",0.189216873496454,0.0826863212346638
"ad364",0.252395508249934,0.117127493094452,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","364","P2024.200.515rcbc1.161",0.189216873496454,0.0826863212346638
"ad365",0.15006702946831,0.111533530594683,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","365","P2024.200.515rcbc1.173",0.189216873496454,0.0826863212346638
"ad366",0.236748874599658,0.0582060271745486,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","366","P2024.200.515rcbc1.185",0.189216873496454,0.0826863212346638
"ad367",0.195873067734435,0.0647008814470363,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","367","P2024.200.515rcbc1.102",0.189216873496454,0.0826863212346638
"ad368",0.113697159972023,0.0961297201405485,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","368","P2024.200.515rcbc1.114",0.189216873496454,0.0826863212346638
"am357",-0.39975854521766,-0.216666047516431,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","357","P2024.200.515rcbc1.172",-0.109546511760823,-0.178176197418205
"am358",-0.275844184127485,-0.232600051440023,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","358","P2024.200.515rcbc1.184",-0.109546511760823,-0.178176197418205
"am359",-0.184209456773188,-0.240600973035422,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","359","P2024.200.515rcbc1.101",-0.109546511760823,-0.178176197418205
"am360",0.0928883081383286,-0.159074793337424,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","360","P2024.200.515rcbc1.113",-0.109546511760823,-0.178176197418205
"am361",-0.0351948335429412,-0.123792029680727,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","361","P2024.200.515rcbc1.125",-0.109546511760823,-0.178176197418205
"am362",0.144839640958006,-0.096323289499205,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","362","P2024.200.515rcbc1.137",-0.109546511760823,-0.178176197418205
"amd782",0.116676815318526,-0.0535697035242557,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","782","P2024.200.515rcbc1.126",0.165233340934526,-0.0585987898756195
"amd783",0.188482194359309,-0.0164128284180141,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","783","P2024.200.515rcbc1.138",0.165233340934526,-0.0585987898756195
"amd784",0.0899929992067772,-0.109893446015495,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","784","P2024.200.515rcbc1.150",0.165233340934526,-0.0585987898756195
"amd785",0.164626276516367,-0.120820522953795,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","785","P2024.200.515rcbc1.162",0.165233340934526,-0.0585987898756195
"amd786",0.234824204938346,0.0149840468851903,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","786","P2024.200.515rcbc1.174",0.165233340934526,-0.0585987898756195
"amd787",0.19679755526783,-0.0658802852273478,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","787","P2024.200.515rcbc1.186",0.165233340934526,-0.0585987898756195
"bc351",0.178065553963411,0.142627919740209,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","351","P2024.200.515rcbc1.097",-0.0625087136680816,-0.036603446417982
"bc352",0.2641988247198,0.108132599589696,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","352","P2024.200.515rcbc1.109",-0.0625087136680816,-0.036603446417982
"bc353",-0.21095075279431,-0.161943548943461,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","353","P2024.200.515rcbc1.121",-0.0625087136680816,-0.036603446417982
"bc354",-0.21457206087232,-0.115684823696188,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","354","P2024.200.515rcbc1.133",-0.0625087136680816,-0.036603446417982
"bc355",-0.205997740084871,-0.126620218114283,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","355","P2024.200.515rcbc1.145",-0.0625087136680816,-0.036603446417982
"bc356",-0.185796106940199,-0.0661326070838652,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","356","P2024.200.515rcbc1.157",-0.0625087136680816,-0.036603446417982
"bd363",0.147761672098912,0.0495811411594133,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","363","P2024.200.515rcbc1.146",0.100564998070681,0.050842865208497
"bd364",0.192807224917167,-0.00973656754711964,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","364","P2024.200.515rcbc1.158",0.100564998070681,0.050842865208497
"bd365",0.113594276434717,0.108138619200648,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","365","P2024.200.515rcbc1.170",0.100564998070681,0.050842865208497
"bd366",0.129680489341815,0.0602055047258979,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","366","P2024.200.515rcbc1.182",0.100564998070681,0.050842865208497
"bd367",-0.0447623401544801,0.0328303184113233,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","367","P2024.200.515rcbc1.099",0.100564998070681,0.050842865208497
"bd368",0.0643086657859537,0.0640381753008196,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","368","P2024.200.515rcbc1.111",0.100564998070681,0.050842865208497
"bm357",-0.361367174504707,-0.112979623263583,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","357","P2024.200.515rcbc1.169",0.0143820128434954,-0.0412792922087777
"bm358",0.186245322008221,0.00682643287005902,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","358","P2024.200.515rcbc1.181",0.0143820128434954,-0.0412792922087777
"bm359",0.111647996446709,-0.0277375048255148,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","359","P2024.200.515rcbc1.098",0.0143820128434954,-0.0412792922087777
"bm360",0.0902645818442076,-0.0521964061152434,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","360","P2024.200.515rcbc1.110",0.0143820128434954,-0.0412792922087777
"bm361",0.0824744728513626,-0.0527004641451426,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","361","P2024.200.515rcbc1.122",0.0143820128434954,-0.0412792922087777
"bm362",-0.0229731215848209,-0.00888818777324187,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","362","P2024.200.515rcbc1.134",0.0143820128434954,-0.0412792922087777
"bmd782",0.0894495683178883,0.023686598250482,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro+doxil","782","P2024.200.515rcbc1.123",-0.110137228445351,0.281002582249036
"bmd783",0.105147045890688,0.0169715502949219,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro+doxil","783","P2024.200.515rcbc1.135",-0.110137228445351,0.281002582249036
"bmd784",-0.321212096439299,0.571409908013965,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro+doxil","784","P2024.200.515rcbc1.147",-0.110137228445351,0.281002582249036
"bmd785",0.157875572577999,-0.00179473871870884,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro+doxil","785","P2024.200.515rcbc1.159",-0.110137228445351,0.281002582249036
"bmd786",-0.334109530972375,0.548006825552823,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro+doxil","786","P2024.200.515rcbc1.171",-0.110137228445351,0.281002582249036
"bmd787",-0.35797393004701,0.527735350100733,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro+doxil","787","P2024.200.515rcbc1.183",-0.110137228445351,0.281002582249036
