"sample","sample2","distance","timepoint","treatment","mouse1","mouse2"
"ac352","ac351",0.27057250664806,"after","control","352","351"
"ac353","ac351",0.51098890880811,"after","control","353","351"
"ac354","ac351",0.452158799747709,"after","control","354","351"
"ac355","ac351",0.444424046108927,"after","control","355","351"
"ac356","ac351",0.470184191974208,"after","control","356","351"
"ac353","ac352",0.390862179966862,"after","control","353","352"
"ac354","ac352",0.320886518776388,"after","control","354","352"
"ac355","ac352",0.373296465555806,"after","control","355","352"
"ac356","ac352",0.374977750108703,"after","control","356","352"
"ac354","ac353",0.437580309931023,"after","control","354","353"
"ac355","ac353",0.444312668926318,"after","control","355","353"
"ac356","ac353",0.558431297001937,"after","control","356","353"
"ac355","ac354",0.436667698239634,"after","control","355","354"
"ac356","ac354",0.329724076824506,"after","control","356","354"
"ac356","ac355",0.394679930928435,"after","control","356","355"
"ad364","ad363",0.34968375351596,"after","doxil","364","363"
"ad365","ad363",0.348779793140896,"after","doxil","365","363"
"ad366","ad363",0.3218491991095,"after","doxil","366","363"
"ad367","ad363",0.286202778543945,"after","doxil","367","363"
"ad368","ad363",0.413679856472619,"after","doxil","368","363"
"ad365","ad364",0.441820749221705,"after","doxil","365","364"
"ad366","ad364",0.33763682959366,"after","doxil","366","364"
"ad367","ad364",0.402781922727124,"after","doxil","367","364"
"ad368","ad364",0.506815636429998,"after","doxil","368","364"
"ad366","ad365",0.339514914562802,"after","doxil","366","365"
"ad367","ad365",0.25690015706567,"after","doxil","367","365"
"ad368","ad365",0.394386603620596,"after","doxil","368","365"
"ad367","ad366",0.292681592662376,"after","doxil","367","366"
"ad368","ad366",0.449645422053786,"after","doxil","368","366"
"ad368","ad367",0.295231551119027,"after","doxil","368","367"
"am358","am357",0.365989032447,"after","metro","358","357"
"am359","am357",0.443157479774823,"after","metro","359","357"
"am360","am357",0.646033504300147,"after","metro","360","357"
"am361","am357",0.544209963496214,"after","metro","361","357"
"am362","am357",0.636391373833801,"after","metro","362","357"
"am359","am358",0.223058251220193,"after","metro","359","358"
"am360","am358",0.519234021989466,"after","metro","360","358"
"am361","am358",0.458601169344612,"after","metro","361","358"
"am362","am358",0.603708812496479,"after","metro","362","358"
"am360","am359",0.42614694826179,"after","metro","360","359"
"am361","am359",0.415213455562582,"after","metro","361","359"
"am362","am359",0.579594460350983,"after","metro","362","359"
"am361","am360",0.373761116175121,"after","metro","361","360"
"am362","am360",0.407421480618974,"after","metro","362","360"
"am362","am361",0.344068981100416,"after","metro","362","361"
"amd783","amd782",0.263550975701586,"after","metro+doxil","783","782"
"amd784","amd782",0.347237542734607,"after","metro+doxil","784","782"
"amd785","amd782",0.399570240752509,"after","metro+doxil","785","782"
"amd786","amd782",0.407559901680174,"after","metro+doxil","786","782"
"amd787","amd782",0.318874031861504,"after","metro+doxil","787","782"
"amd784","amd783",0.261330312230093,"after","metro+doxil","784","783"
"amd785","amd783",0.361236803081122,"after","metro+doxil","785","783"
"amd786","amd783",0.351602710845692,"after","metro+doxil","786","783"
"amd787","amd783",0.299569811592723,"after","metro+doxil","787","783"
"amd785","amd784",0.377598485869778,"after","metro+doxil","785","784"
"amd786","amd784",0.493106161120072,"after","metro+doxil","786","784"
"amd787","amd784",0.416985068032385,"after","metro+doxil","787","784"
"amd786","amd785",0.355334834211828,"after","metro+doxil","786","785"
"amd787","amd785",0.219807740503018,"after","metro+doxil","787","785"
"amd787","amd786",0.313130783992503,"after","metro+doxil","787","786"
"bc352","bc351",0.227524714664942,"before","control","352","351"
"bc353","bc351",0.666367571814611,"before","control","353","351"
"bc354","bc351",0.642098245301875,"before","control","354","351"
"bc355","bc351",0.646688143275608,"before","control","355","351"
"bc356","bc351",0.65308752877329,"before","control","356","351"
"bc353","bc352",0.710349637840231,"before","control","353","352"
"bc354","bc352",0.704876079430528,"before","control","354","352"
"bc355","bc352",0.698274035144917,"before","control","355","352"
"bc356","bc352",0.660927664981794,"before","control","356","352"
"bc354","bc353",0.134953313886718,"before","control","354","353"
"bc355","bc353",0.167566596572839,"before","control","355","353"
"bc356","bc353",0.361100698120355,"before","control","356","353"
"bc355","bc354",0.113180403038261,"before","control","355","354"
"bc356","bc354",0.289090478940278,"before","control","356","354"
"bc356","bc355",0.306586233494123,"before","control","356","355"
"bd364","bd363",0.286988958399907,"before","doxil","364","363"
"bd365","bd363",0.204420386670243,"before","doxil","365","363"
"bd366","bd363",0.237634697418849,"before","doxil","366","363"
"bd367","bd363",0.293920978876687,"before","doxil","367","363"
"bd368","bd363",0.365114432050961,"before","doxil","368","363"
"bd365","bd364",0.347238837026026,"before","doxil","365","364"
"bd366","bd364",0.23777311848005,"before","doxil","366","364"
"bd367","bd364",0.417526354327807,"before","doxil","367","364"
"bd368","bd364",0.509751770573631,"before","doxil","368","364"
"bd366","bd365",0.207893379270234,"before","doxil","366","365"
"bd367","bd365",0.343081572989146,"before","doxil","367","365"
"bd368","bd365",0.37144644627427,"before","doxil","368","365"
"bd367","bd366",0.322581563690684,"before","doxil","367","366"
"bd368","bd366",0.459888648703219,"before","doxil","368","366"
"bd368","bd367",0.36898313722207,"before","doxil","368","367"
"bm358","bm357",0.701069432126915,"before","metro","358","357"
"bm359","bm357",0.64875376425926,"before","metro","359","357"
"bm360","bm357",0.634345644065636,"before","metro","360","357"
"bm361","bm357",0.640080717462518,"before","metro","361","357"
"bm362","bm357",0.457849254150946,"before","metro","362","357"
"bm359","bm358",0.247081185519168,"before","metro","359","358"
"bm360","bm358",0.328308326374246,"before","metro","360","358"
"bm361","bm358",0.358120898671492,"before","metro","361","358"
"bm362","bm358",0.491506144444148,"before","metro","362","358"
"bm360","bm359",0.325306932694871,"before","metro","360","359"
"bm361","bm359",0.33815788407059,"before","metro","361","359"
"bm362","bm359",0.434969042933486,"before","metro","362","359"
"bm361","bm360",0.13107500371087,"before","metro","361","360"
"bm362","bm360",0.33531875366276,"before","metro","362","360"
"bm362","bm361",0.33246586289353,"before","metro","362","361"
"bmd783","bmd782",0.130341821682474,"before","metro+doxil","783","782"
"bmd784","bmd782",0.735009022914203,"before","metro+doxil","784","782"
"bmd785","bmd782",0.353681479105334,"before","metro+doxil","785","782"
"bmd786","bmd782",0.726890954653683,"before","metro+doxil","786","782"
"bmd787","bmd782",0.738883790818801,"before","metro+doxil","787","782"
"bmd784","bmd783",0.758727321885575,"before","metro+doxil","784","783"
"bmd785","bmd783",0.356586482134317,"before","metro+doxil","785","783"
"bmd786","bmd783",0.741617266174504,"before","metro+doxil","786","783"
"bmd787","bmd783",0.743699849187802,"before","metro+doxil","787","783"
"bmd785","bmd784",0.822149031934733,"before","metro+doxil","785","784"
"bmd786","bmd784",0.0954205449143986,"before","metro+doxil","786","784"
"bmd787","bmd784",0.1676538590627,"before","metro+doxil","787","784"
"bmd786","bmd785",0.813180069247316,"before","metro+doxil","786","785"
"bmd787","bmd785",0.82307949122358,"before","metro+doxil","787","785"
"bmd787","bmd786",0.115205628505529,"before","metro+doxil","787","786"
