feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin
ac351	15.9928335216568	15.9928335216568	17.1898587249683	19.5828498281556	12.4505382365134
ac352	16.2710993206268	16.2710993206268	17.8305427710912	19.3916788533582	12.4505382365134
ac353	17.4630437828318	17.4630437828318	16.6716025664834	19.4474540635007	12.4505382365134
ac354	15.7216361490381	15.7216361490381	17.4953799679665	19.5379022845721	12.4505382365134
ac355	17.7424053059244	17.974337324245	16.3756035141105	19.3265272597978	12.4505382365134
ac356	16.149068472774	16.149068472774	17.9612002763298	19.3584072036373	12.4505382365134
bc351	14.469100548041	14.469100548041	17.0331554278799	19.5693541862722	16.4237612392037
bc352	14.469100548041	14.469100548041	17.2179454458053	19.6439635989413	14.7881219789258
bc353	16.8453204907668	16.8453204907668	15.3756035141105	19.7258165449416	13.8886719938085
bc354	16.4574599399528	16.4574599399528	15.3756035141105	19.7776667482035	13.4505382365134
bc355	16.2661278613925	16.2661278613925	15.3756035141105	19.7808037893057	14.3173531847477
bc356	15.469100548041	15.469100548041	15.3756035141105	19.8645988047866	12.4505382365134
