feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin	glycopeptide.antibiotic
ad363	17318.5086834359	17318.5086834359	269801.063668152	698513.232109791	14367.195538621	0
ad364	25212.8754872903	25212.8754872903	0	918404.181174421	56382.9433382881	0
ad365	56704.5626617614	56704.5626617614	104780.115477597	831109.462799554	7405.85906108774	0
ad366	21762.5131403515	21762.5131403515	214408.339616667	739728.512856146	24100.6343868356	0
ad367	0	0	342967.835316013	645871.11375344	11161.0509305467	0
ad368	16760.3735921402	16760.3735921402	627931.56201303	355308.06439483	0	0
bd363	18804.9495140586	18804.9495140586	143863.295468531	837331.75501741	0	0
bd364	31057.9997489417	31057.9997489417	0	960805.593669712	8136.40658134542	0
bd365	28859.9553720258	28859.9553720258	86988.3305223537	861591.193779231	7812.59397949788	14747.9263468911
bd366	43813.4716727249	43813.4716727249	0	940980.60964262	15205.9186846546	0
bd367	27461.9004216859	27461.9004216859	0	939116.500305748	33421.5992725654	0
bd368	32889.9693626837	32889.9693626837	0	895456.339994664	37699.4849831791	33954.2056594732
