"","drug_class","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","log2fc"
"1","tetracycline antibiotic","timepoint","after",-0.286230696571546,0.0600152872952091,12,12,0.00075785092747838,0.00378925463739191,"control",-0.412943606493963
"2","lincosamide antibiotic","timepoint","after",2.54507240451948,0.638415129190309,12,9,0.00257360343124552,0.00900761200935931,"metro+doxil",3.6717633367036
"3","macrolide antibiotic","timepoint","after",2.54507240451948,0.638415129190309,12,9,0.00257360343124552,0.00900761200935931,"metro+doxil",3.6717633367036
"4","mupirocin like antibiotic","timepoint","after",1.37633486341845,0.442436718817156,12,8,0.0110455077009907,0.0257728513023115,"metro+doxil",1.98563148205639
"5","rifamycin antibiotic","timepoint","after",1.29511214847042,0.373912434371828,12,8,0.0179710783491486,0.0299871592059465,"control",1.86845187399333
"6","cephalosporin","timepoint","after",-1.76929257510538,0.548368468820724,12,5,0.0179922955235679,0.0299871592059465,"control",-2.5525496239862
"7","lincosamide antibiotic","timepoint","after",0.893979436102807,0.380286582418924,12,10,0.0654946453027991,0.0654946453027991,"control",1.28973969912223
"8","macrolide antibiotic","timepoint","after",0.932634772489562,0.393847292677375,12,10,0.0641106119814177,0.0654946453027991,"control",1.3455075612313
"9","rifamycin antibiotic","timepoint","after",1.71800482367486,0.631830035495837,12,7,0.0215939089744208,0.129563453846525,"doxil",2.47855703933904
"10","lincosamide antibiotic","timepoint","after",1.2854000186874,0.629954739600722,12,12,0.0968115158724056,0.145217273808608,"metro",1.85444023251889
"11","macrolide antibiotic","timepoint","after",1.2854000186874,0.629954739600722,12,12,0.0968115158724056,0.145217273808608,"metro",1.85444023251889
"12","rifamycin antibiotic","timepoint","after",2.16259474788017,0.889800921085646,12,4,0.0511349129579956,0.145217273808608,"metro",3.11996471821924
"13","tetracycline antibiotic","timepoint","after",-0.288197177885631,0.0961548608209268,12,12,0.0301956009111603,0.145217273808608,"metro",-0.415780639333794
"14","cephalosporin","timepoint","after",-1.17197551394504,0.717257814358089,12,7,0.133313305745058,0.159975966894069,"metro",-1.6908032620118
"15","tetracycline antibiotic","timepoint","after",-0.433228640803899,0.194915221294227,12,12,0.076871637438872,0.230614912316616,"doxil",-0.625016811658851
"16","lincosamide antibiotic","timepoint","after",-0.523284351558947,0.378963816140562,12,11,0.225862811414012,0.271035373696814,"doxil",-0.75493973896889
"17","macrolide antibiotic","timepoint","after",-0.523284351558947,0.378963816140562,12,11,0.225862811414012,0.271035373696814,"doxil",-0.75493973896889
"18","glycopeptide antibiotic","timepoint","after",-0.533846360847462,0.371644405259579,12,2,0.202552329088768,0.271035373696814,"doxil",-0.770177497391253
"19","glycopeptide antibiotic","timepoint","after",0.450779433907888,0.299258699495271,12,2,0.182689455293961,0.319706546764432,"metro+doxil",0.650337253833644
"20","glycopeptide antibiotic","timepoint","after",0.396595460602488,0.581358818173623,12,3,0.525434658744462,0.525434658744462,"metro",0.572166304250284
"21","tetracycline antibiotic","timepoint","after",0.420818016099815,0.655796256275033,12,12,0.535505331910139,0.749707464674194,"metro+doxil",0.607112064943935
"22","rifamycin antibiotic","timepoint","after",0.0975214107214223,0.750414195424283,12,9,0.899177568577496,0.899177568577496,"metro+doxil",0.140693655628292
"23","cephalosporin","timepoint","after",0.147872362323623,0.860261911610929,12,9,0.870262859986758,0.899177568577496,"metro+doxil",0.213334723808827
"24","cephalosporin","timepoint","after",0.067670746675707,0.770553658970193,12,10,0.93175276216096,0.93175276216096,"doxil",0.0976282506422957
