feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Mef.En2.	timepoint	after	2.54507240451948	0.638415129190309	12	9	0.00257360343125589	0.0257360343125589
Bifidobacterium.bifidum.ileS.conferring.resistance.to.mupirocin	timepoint	after	1.37633486341844	0.442436718817156	12	8	0.0110455077009909	0.0552275385049544
CfxA6	timepoint	after	-0.696433331753984	0.333914330635849	12	3	0.0820671800528305	0.273557266842768
tet.40.	timepoint	after	-1.19575262456736	0.699410171956116	12	11	0.148022198017799	0.36550296978344
vanR.gene.in.vanG.cluster	timepoint	after	0.450779433907883	0.299258699495271	12	2	0.18275148489172	0.36550296978344
tet.Q.	timepoint	after	1.34461673982441	1.10245491090293	12	11	0.250579632518244	0.375092124398393
tet.O.	timepoint	after	-0.700629140524356	0.629614331428381	12	5	0.291832466174612	0.375092124398393
CblA.1	timepoint	after	0.829317865691493	0.717670043465276	12	9	0.300073699518714	0.375092124398393
tet.W.32.O.	timepoint	after	-0.402480194984003	0.872154525534419	12	5	0.663746383409502	0.737495981566114
Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	timepoint	after	0.0975214107214223	0.750414195424283	12	9	0.899177568577496	0.899177568577496
