feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.O.	Mef.En2.	tet.W.32.O.	CblA.1	vanR.gene.in.vanG.cluster	Bifidobacterium.bifidum.ileS.conferring.resistance.to.mupirocin
bmd782	16.402473851199	19.8085948939505	13.579099805097	13.5653621713705	11.5174509904476	14.303087545265	10.8315204764568	15.1803927070292	11.7206084394219	14.7913611015086
amd782	18.7983253468299	18.0347949073782	12.579099805097	11.748740586974	11.5174509904476	14.4302470944094	11.8315204764568	13.4884680415339	12.7206084394219	17.7978483528739
bmd783	16.402473851199	19.8042566205843	13.8494286181518	13.8966199830675	13.2435768724464	14.4738806847689	10.8315204764568	14.4251864279768	11.7206084394219	14.7913611015086
amd783	18.5273657729774	18.5575361276961	12.579099805097	15.2579529406093	11.5174509904476	14.2418389017733	12.9335325774495	14.1931446449812	13.4252850428692	17.0976374378236
bmd784	19.508183049132	16.4299582616431	12.579099805097	15.5172959902241	14.864252879603	11.9889663013977	14.1480458456036	11.2033064504395	11.7206084394219	16.1187324607151
amd784	18.3626783507668	18.7878584009041	12.579099805097	12.99059156379	11.5174509904476	16.3842917588755	12.6456707485313	14.8077275066402	11.7206084394219	16.3158082879852
bmd785	16.402473851199	19.8538835574189	14.4873709825662	12.748740586974	13.2477005697979	12.9889663013977	10.8315204764568	12.2033064504395	11.7206084394219	14.7913611015086
amd785	17.402473851199	19.2379697019424	12.579099805097	13.2293282270644	13.116853497806	16.6642468480794	10.8315204764568	13.1313530675011	11.7206084394219	16.2349325104142
bmd786	19.6285731192899	15.0470310709371	12.579099805097	14.8470050643226	11.5174509904476	11.9889663013977	14.8460386502812	11.2033064504395	11.7206084394219	16.5605772451441
amd786	17.5542034510724	19.3175997934074	12.579099805097	13.0427385538703	12.5174509904476	16.0870440583189	10.8315204764568	12.4428566333135	11.7206084394219	15.7913611015086
bmd787	19.6623017093902	14.0470310709371	12.579099805097	16.6929727773368	11.5174509904476	11.9889663013977	10.8315204764568	11.2033064504395	11.7206084394219	14.7913611015086
amd787	17.9465611228924	19.1226969830893	12.579099805097	13.8241289535833	11.5174509904476	15.1955992012853	10.8315204764568	12.3311622369429	11.7206084394219	16.8651756017988
