"","resistance_mechanism","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","log2fc"
"1","antibiotic target protection","timepoint","after",-0.266860198364559,0.0630443127135948,12,12,0.00173581175464253,0.00867905877321264,"control",-0.384997884791194
"2","antibiotic target alteration","timepoint","after",1.15838839560064,0.319215573545768,12,8,0.0150785981479375,0.0224903694044599,"control",1.67120119375637
"3","antibiotic target replacement","timepoint","after",1.29511214847042,0.373912434371828,12,8,0.0179710783491486,0.0224903694044599,"control",1.86845187399333
"4","antibiotic inactivation","timepoint","after",-1.76929257510538,0.548368468820724,12,5,0.0179922955235679,0.0224903694044599,"control",-2.5525496239862
"5","antibiotic efflux","timepoint","after",0.778933290660457,0.337998777476636,12,12,0.0693778206275088,0.0693778206275088,"control",1.12376319561916
"6","antibiotic target alteration","timepoint","after",2.19229726473003,0.854274964137806,12,8,0.0502625900609746,0.0837709834349576,"doxil",3.16281639198045
"7","antibiotic target protection","timepoint","after",-0.460365587413359,0.175649038999115,12,12,0.0470443824475482,0.0837709834349576,"doxil",-0.664167149957188
"8","antibiotic target replacement","timepoint","after",1.71800482367486,0.631830035495837,12,7,0.0215939089744208,0.0837709834349576,"doxil",2.47855703933904
"9","antibiotic target alteration","timepoint","after",2.18509382326659,0.836540280321046,12,5,0.0475513037541977,0.0852248549299926,"metro",3.15242402270381
"10","antibiotic target protection","timepoint","after",-0.270142255086772,0.0966257993071582,12,12,0.0381843743218238,0.0852248549299926,"metro",-0.389732891748247
"11","antibiotic target replacement","timepoint","after",2.16259474788017,0.889800921085646,12,4,0.0511349129579956,0.0852248549299926,"metro",3.11996471821924
"12","antibiotic inactivation","timepoint","after",-1.17197551394504,0.717257814358089,12,7,0.133313305745058,0.166641632181322,"metro",-1.6908032620118
"13","antibiotic efflux","timepoint","after",0.575227271931934,0.445146979138226,12,12,0.252778139035204,0.252778139035204,"metro",0.829877532600288
"14","antibiotic efflux","timepoint","after",0.728048735161034,0.509090001849214,12,12,0.183181298636825,0.899177568577496,"metro+doxil",1.05035229974231
"15","antibiotic target alteration","timepoint","after",0.262958224353222,0.664448927422574,12,9,0.700598354481428,0.899177568577496,"metro+doxil",0.379368526235361
"16","antibiotic target protection","timepoint","after",0.786989793306034,0.824606027835855,12,12,0.362390608508395,0.899177568577496,"metro+doxil",1.13538627203285
"17","antibiotic target replacement","timepoint","after",0.0975214107214223,0.750414195424283,12,9,0.899177568577496,0.899177568577496,"metro+doxil",0.140693655628292
"18","antibiotic inactivation","timepoint","after",0.147872362323623,0.860261911610929,12,9,0.870262859986758,0.899177568577496,"metro+doxil",0.213334723808827
"19","antibiotic efflux","timepoint","after",-0.00341152998204564,0.461519015452847,12,12,0.994247510607182,0.994247510607182,"doxil",-0.00492179738694125
"20","antibiotic inactivation","timepoint","after",0.067670746675707,0.770553658970193,12,10,0.93175276216096,0.994247510607182,"doxil",0.0976282506422957
